Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
ESS,4194710,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,480930,,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,1119440,0212804K,MN97,AimBig Employment HYDE PARK,4TOW,QLD North,QLD,
ESS,1270060,0212883D,AE21,AimBig Employment GUNNEDAH,4KEE,Northern NSW,NSW,
ESS,1450380,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,2042370,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,8826118809,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,53520,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,
DMS,111800,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,82960,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
ESS,8649845809,0212890C,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
DMS,382770,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,9239454809,0212861J,AC41,AimBig Employment HUONVILLE,4HOB,Tasmania,TAS,
DMS,2592940,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,168470,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL
DMS,2499350,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
DMS,3549240,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,2707870,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,451780,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK
ESS,3613820,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
DMS,3606070,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH
DMS,618010,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK
ESS,2919880,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
ESS,7684049709,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,630040,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MENH
ESS,933460119,0212892E,AC71,AimBig Employment ROSNY PARK,4HOB,Tasmania,TAS,
DMS,1044073809,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,
DMS,7073270006,,NULL,NULL,4WDO,NULL,NULL,
ESS,1101750109,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,1112008003,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
ESS,768688209,0212892E,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,
DMS,7579282409,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,788341809,0212877F,MN77,AimBig Employment TRARALGON,4LAV,Regional Victoria,VIC,
ESS,786802004,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,7591067019,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
DMS,799566509,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL
ESS,770931709,0212891D,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
DMS,7347180409,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,842424109,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
ESS,882918909,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,115850,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,9207886709,0212801H,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MUSK
DMS,9281452003,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
ESS,9424264003,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,687020,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
DMS,3841020,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,2677090,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,612500,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
ESS,3948810,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,2854830,0212891D,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
DMS,998300,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,4314210,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,4316960,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,3070620,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,1747990,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
DMS,3884430,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,4257980,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,12210004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,2145540,0212879H,NX17,AimBig Employment FORTITUDE VALLEY,4NOB,QLD North,QLD,
DMS,3491190,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,
DMS,3522250,,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,16615709,,NULL,NULL,4CWS,NULL,NULL,
DMS,6750775709,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,
ESS,2962500,0212887H,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
DMS,7735781809,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,7749774004,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,7751045609,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
ESS,2614470,0212898K,NW77,AimBig Employment HORNSBY,4CWS,Northern Sydney,NSW,
ESS,7246123709,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
DMS,1136313007,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,2952040,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,1592241019,0212843G,MM17,AimBig Employment BONDI JUNCTION,4ESU,Eastern Sydney,NSW,
DMS,1294682809,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH
DMS,3539409,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,1591212007,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,1118132809,0212888J,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,3527760,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,1783215009,0212897K,AB71,AimBig Employment MILES,4WDO,QLD South and West,QLD,
DMS,920868809,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,10082609,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,1251943509,0212871K,ML27,AimBig Employment DUBBO,4ORA,Northern NSW,NSW,
DMS,9969488909,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,9597164019,0212886G,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
DMS,54872909,0212841E,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
ESS,9375631003,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,9427370008,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,
ESS,30199609,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
DMS,9548135209,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,8918718809,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH
ESS,16541109,0212887H,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,
DMS,9257559209,0212822B,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,
ESS,26881809,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,31905119,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,9252573009,0212823C,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
ESS,79418909,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
ESS,7756699109,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,748180,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
DMS,7563118509,0212824D,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,
DMS,7569172019,0212814B,AE21,AimBig Employment GUNNEDAH,4KEE,Northern NSW,NSW,
DMS,720990,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,7267092007,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,7725716003,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH
ESS,7252000003,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL
ESS,993650,0212881B,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,
DMS,7283402008,0212830B,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
DMS,7272646909,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,868730,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
ESS,7250935004,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
ESS,1076900,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,7783862004,0212870K,ML27,AimBig Employment DUBBO,4ORA,Northern NSW,NSW,
ESS,2009030509,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,1096930,0212851G,ML97,AimBig Employment BROOKVALE,4NOS,Northern Sydney,NSW,
ESS,1972652909,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL
ESS,1451406019,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL
DMS,6638544009,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,1181931609,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,1505360007,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,1554647409,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
ESS,7369790003,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,162321209,,NULL,NULL,4YAR,NULL,NULL,
DMS,1309241609,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
DMS,1502580,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,121621119,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,9916005019,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
DMS,7112707709,0212845J,NX07,AimBig Employment SYDNEY,4INS,Eastern Sydney,NSW,AALL
DMS,7302894019,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
DMS,80154003,0212801H,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,
DMS,7127115007,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
ESS,41108909,0212886G,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
ESS,7339003909,0212887H,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
ESS,73625409,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
ESS,6858704109,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,
DMS,117150019,,NULL,NULL,4CAB,NULL,NULL,
DMS,7647123009,0212822B,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,7614251909,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
ESS,7347610001,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL
DMS,104111109,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,3057645019,0212841E,NW77,AimBig Employment HORNSBY,4CWS,Northern Sydney,NSW,
DMS,104986909,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,
ESS,7579803209,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL
DMS,116536809,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,3063295809,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,
ESS,7299360006,0212879H,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,
DMS,2822398909,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
ESS,3696834019,0212886G,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
ESS,3486013004,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL
ESS,22018019,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL
ESS,7749629509,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
ESS,3522124009,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,2965195209,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
ESS,7608572509,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,6816247909,0212887H,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,
DMS,102306509,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,3201833909,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,7619697909,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,1911833003,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
ESS,270992019,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,2332225409,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,2012218019,,NULL,NULL,4SOU,NULL,NULL,
DMS,2924600008,0212833E,FV68,AimBig Employment OSBORNE PARK,4NOM,Western Australia,WA,
DMS,2031496909,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,2959203809,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
DMS,167372004,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,9513225709,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,1559575019,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,9625918909,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
DMS,9641014019,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
ESS,1609920003,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL
DMS,8413580003,0212826F,AD61,AimBig Employment NAMBUCCA HEADS,4COH,Northern NSW,NSW,
ESS,9642150909,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,3902078109,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,203669609,0212795D,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL
ESS,9951406609,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL
DMS,155315007,0212819G,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,9123200003,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,166763209,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL
DMS,9442318209,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
DMS,225124609,,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,
ESS,90028019,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,7842370004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL
DMS,207547609,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
ESS,7363316019,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
DMS,7371275509,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
DMS,187874709,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
DMS,6887300006,,NULL,NULL,4WNW,NULL,NULL,
DMS,7868190004,,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,
DMS,261823003,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,7870290004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL
DMS,3597361003,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
ESS,242994809,0212892E,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,
ESS,3903507609,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,3771070003,0212814B,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
DMS,207974909,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
ESS,4025869009,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
ESS,2408050006,0212892E,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,
DMS,2299994003,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,283200003,,NULL,NULL,4INS,NULL,NULL,
DMS,2673066019,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
ESS,2892595003,,NULL,NULL,4CWS,NULL,NULL,
DMS,9439040003,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL
DMS,135970,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK
DMS,452670,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,
DMS,531090,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
ESS,9492858409,,NULL,NULL,4WDO,NULL,NULL,
DMS,459080,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL
DMS,353834309,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,7914126019,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
DMS,747750,0212797F,MO57,AimBig Employment UPPER MOUNT GRAVATT,4SOB,QLD South and West,QLD,
ESS,1070820,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
ESS,660190,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,7452000006,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,672800,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,1184900,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
DMS,846040,0212794C,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,6969989809,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
DMS,6976134509,0212838K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,188993709,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,1348970,,NULL,NULL,4FAI,NULL,NULL,
ESS,7439187409,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,205276909,0212845J,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,
DMS,254810004,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,7943602003,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
DMS,7680383004,0212828H,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
ESS,1687800,0212892E,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
ESS,5165650909,0212891D,AC81,AimBig Employment TIWI,4DAR,Northern Territory,NT,
ESS,7901483709,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL
DMS,7385422009,0212853J,ML87,AimBig Employment MOUNT DRUITT,4OWS,South Western Sydney,NSW,
DMS,5253461409,0212841E,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,7428106909,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK
ESS,3960442003,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,3547523109,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
ESS,4108380,0212881B,AE91,AimBig Employment GOSFORD,4CEC,Central Coast NSW,NSW,
DMS,3598474509,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL
DMS,7446240004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
ESS,3842317019,0212892E,AC71,AimBig Employment ROSNY PARK,4HOB,Tasmania,TAS,
ESS,3638323009,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
DMS,3638640004,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,4092714003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,7156147509,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,
DMS,3471093009,0212812K,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,
DMS,4434111007,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,2970740,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,
DMS,269630006,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,3089732109,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
ESS,2585440,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
DMS,2819378609,0212855K,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
ESS,3276470,0212883D,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,
ESS,2881153119,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
ESS,367232609,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,3185524409,0212834F,MM57,AimBig Employment OSBORNE PARK,4NOM,Western Australia,WA,
ESS,2568410,0212900K,NX07,AimBig Employment SYDNEY,4INS,Eastern Sydney,NSW,
DMS,2919573609,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
ESS,3109260,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
DMS,938250,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,7211791003,,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,2599150,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL
DMS,1254580,0212851G,ML97,AimBig Employment BROOKVALE,4NOS,Northern Sydney,NSW,
DMS,3694620,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,
DMS,1314140,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
ESS,446532003,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,1334580,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,
ESS,338030007,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,1431260,0212835G,MM47,AimBig Employment DEAKIN,4ACQ,South East Sydney,ACT,
DMS,270010004,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,
DMS,396018209,0212802J,MO07,AimBig Employment MACKAY,4MAK,QLD North,QLD,
DMS,273408109,0212829J,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
ESS,380227509,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,287871003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,298864019,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
ESS,363545509,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,
DMS,368611809,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
DMS,263781809,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
DMS,362253009,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,
DMS,7438374909,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
DMS,7964104309,0212828H,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
ESS,7453485709,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,AALL
ESS,393790909,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL
DMS,7711836003,0212830B,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,7988466609,0212823C,MN07,AimBig Employment SUNSHINE WEST,4WES,Western Victoria,VIC,
DMS,7446159709,0212861J,AC71,AimBig Employment ROSNY PARK,4HOB,Tasmania,TAS,
