Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
DMS,4138871007,0212821A,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
DMS,3493360,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
DMS,1114754609,0212855K,NW67,AimBig Employment ROCKDALE,4SGS,South East Sydney,NSW,
ESS,7343336509,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,
DMS,17498490,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
DMS,8422906109,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK
ESS,8521514003,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
ESS,1538794609,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
ESS,1954470909,0212902B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
ESS,1235854003,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,
ESS,885400809,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL
ESS,19272410,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL
ESS,6114661909,0212888J,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,5127010,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,
ESS,3934161004,0212891D,AC81,AimBig Employment TIWI,4DAR,Northern Territory,NT,
ESS,1050201003,0212898K,NW77,AimBig Employment HORNSBY,4CWS,Northern Sydney,NSW,AALL
ESS,7285140006,0212893F,AC31,Aimbig Employment LAUNCESTON,4LAU,Tasmania,TAS,AALL
ESS,5054124909,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
ESS,258400004,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,
ESS,1804248609,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,5985555309,0212900K,NX07,AimBig Employment SYDNEY,4INS,Eastern Sydney,NSW,AALL
ESS,464900,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL
DMS,591231003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,7882140,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
ESS,5635609809,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
