Contract_ID,Site_Name,specialist_site_type_code,Num_13_full,Den_13_full,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast,Num_52_full,Den_52_full,Num_52_path,Den_52_path
0212822B,AimBig Employment SUNSHINE,MENH,0,7,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212822B,AimBig Employment SUNSHINE WEST,MENH,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212822B,AimBig Employment TAYLORS LAKES,MENH,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0212822B,AimBig Employment WERRIBEE,MENH,0,55,0.0,80.0,0.0,10.0,0.0,0.0,0.0,72.0,0.0,0.0
0212823C,AimBig Employment NEWPORT,MUSK,0,11,1.0,9.0,1.0,7.0,0.0,0.0,1.0,9.0,0.0,0.0
0212823C,AimBig Employment Pty Ltd MELTON,MUSK,0,3,0.0,24.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0
0212823C,AimBig Employment SUNSHINE,MUSK,0,4,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212823C,AimBig Employment SUNSHINE WEST,MUSK,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212823C,AimBig Employment TAYLORS LAKES,MUSK,0,42,2.0,35.0,1.0,12.0,0.0,0.0,4.0,37.0,0.0,0.0
0212823C,AimBig Employment WERRIBEE,MUSK,0,17,0.0,24.0,0.0,3.0,0.0,0.0,1.0,17.0,0.0,0.0
0212824D,AimBig Employment MELBOURNE,(blank),0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212825E,AimBig Employment MELBOURNE,MUSK,0,9,0.0,16.0,1.0,7.0,0.0,0.0,1.0,17.0,0.0,0.0
0212826F,AimBig Employment COFFS HARBOUR,AALL,0,21,1.0,25.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212826F,AimBig Employment NAMBUCCA HEADS,AALL,0,7,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212827G,AimBig Employment PORT MACQUARIE,(blank),0,15,0.0,40.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0
0212828H,AimBig Employment GLEN INNES,AALL,0,13,1.0,17.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0
0212828H,AimBig Employment INVERELL,AALL,0,13,0.0,16.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0
0212829J,AimBig Employment CASINO,AALL,0,0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212829J,AimBig Employment LISMORE,AALL,0,26,2.0,50.0,0.0,6.0,0.0,0.0,2.0,50.0,0.0,0.0
0212830B,AimBig Employment BERRIMAH,AALL,0,8,1.0,25.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212830B,AimBig Employment DARWIN CITY,AALL,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212830B,AimBig Employment TIWI,AALL,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212830B,AimBig Employment WANGURI,AALL,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212831C,AimBig Employment ROCKINGHAM,MENH,0,58,0.0,24.0,0.0,3.0,0.0,0.0,1.0,17.0,0.0,0.0
0212832D,AimBig Employment ROCKINGHAM,MUSK,0,33,0.0,48.0,0.0,6.0,0.0,0.0,2.0,42.0,0.0,0.0
0212833E,AimBig Employment JOONDALUP,MENH,0,23,1.0,33.0,0.0,4.0,0.0,0.0,2.0,34.0,0.0,0.0
0212833E,AimBig Employment OSBORNE PARK,MENH,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212834F,AimBig Employment JOONDALUP,(blank),0,10,1.0,17.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0
0212834F,AimBig Employment OSBORNE PARK,(blank),0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212835G,AimBig Employment DEAKIN,(blank),0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212835G,AimBig Employment PHILLIP,(blank),0,8,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212836H,AimBig Employment DEAKIN,MUSK,0,5,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212838K,AimBig Employment CHINCHILLA,AALL,0,17,1.0,9.0,1.0,7.0,0.0,0.0,2.0,10.0,0.0,0.0
0212838K,AimBig Employment DALBY,AALL,0,43,1.0,17.0,1.0,3.0,0.0,0.0,0.0,16.0,2.0,7.0
0212838K,AimBig Employment MILES,AALL,0,0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212838K,AimBig Employment ROMA,AALL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212839K,AimBig Employment BANKSTOWN,MENH,0,63,2.0,74.0,0.0,9.0,0.0,0.0,1.0,41.0,0.0,0.0
0212839K,AimBig Employment CAMPSIE,MENH,0,29,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212840D,AimBig Employment BANKSTOWN,MUSK,0,30,0.0,16.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0
0212840D,AimBig Employment CAMPSIE,MUSK,0,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212841E,AimBig Employment AUBURN,AALL,0,57,2.0,42.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0
0212841E,AimBig Employment BAULKHAM HILLS,AALL,0,18,1.0,17.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0
0212841E,AimBig Employment HORNSBY,AALL,0,3,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0212841E,AimBig Employment PARRAMATTA,AALL,0,38,2.0,26.0,0.0,3.0,0.0,0.0,3.0,19.0,0.0,0.0
0212842F,AimBig Employment BONDI JUNCTION,(blank),0,11,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0212843G,AimBig Employment BONDI JUNCTION,MUSK,0,20,1.0,49.0,0.0,6.0,0.0,0.0,1.0,33.0,0.0,0.0
0212844H,AimBig Employment CABRAMATTA,AALL,0,159,7.0,119.0,0.0,14.0,0.0,0.0,2.0,34.0,0.0,0.0
0212844H,AimBig Employment FAIRFIELD,AALL,0,100,2.0,114.0,0.0,14.0,0.0,0.0,2.0,74.0,0.0,0.0
0212845J,AimBig Employment DARLINGHURST,AALL,0,10,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212845J,AimBig Employment LEICHHARDT,AALL,0,29,0.0,56.0,0.0,7.0,0.0,0.0,0.0,56.0,0.0,0.0
0212845J,AimBig Employment MARRICKVILLE,AALL,0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212845J,AimBig Employment SURRY HILLS,AALL,0,15,0.0,32.0,0.0,4.0,0.0,0.0,0.0,24.0,0.0,0.0
0212845J,AimBig Employment SYDNEY,AALL,0,7,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212846K,AimBig Employment BURWOOD,MENH,0,55,3.0,35.0,0.0,4.0,0.0,0.0,0.0,24.0,0.0,0.0
0212847K,AimBig Employment BURWOOD,MUSK,0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212848A,AimBig Employment LIVERPOOL,AALL,0,20,0.0,80.0,0.0,10.0,0.0,0.0,0.0,72.0,0.0,0.0
0212849B,AimBig Employment CAMPBELLTOWN,AALL,0,57,2.0,106.0,0.0,13.0,0.0,0.0,0.0,104.0,0.0,0.0
0212849B,AimBig Employment INGLEBURN,AALL,0,13,1.0,17.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212850F,AimBig Employment PENRITH,AALL,0,34,1.0,41.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0
0212851G,AimBig Employment BROOKVALE,(blank),0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212851G,AimBig Employment CHATSWOOD,(blank),0,5,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212851G,AimBig Employment MACQUARIE PARK,(blank),0,8,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0212851G,AimBig Employment RYDE,(blank),0,18,1.0,9.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212852H,AimBig Employment BROOKVALE,(blank),0,14,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212852H,AimBig Employment RYDE,(blank),0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212853J,AimBig Employment BLACKTOWN,MENH,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212853J,AimBig Employment MOUNT DRUITT,MENH,0,11,1.0,17.0,0.0,2.0,0.0,0.0,1.0,17.0,0.0,0.0
0212854K,AimBig Employment MOUNT DRUITT,MUSK,0,10,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,2.0
0212855K,AimBig Employment HURSTVILLE,AALL,0,4,0.0,32.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0
0212855K,AimBig Employment MIRANDA,AALL,0,19,0.0,24.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0
0212855K,AimBig Employment ROCKDALE,AALL,0,4,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212856A,AimBig Employment WOLLONGONG,(blank),0,6,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212857B,AimBig Employment WOLLONGONG,MUSK,0,0,0.0,32.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0
0212858C,AimBig Employment BENDIGO,AALL,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212859D,AimBig Employment BALLARAT CENTRAL,MENH,0,16,1.0,17.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0
0212861J,AimBig Employment GLENORCHY,AALL,0,28,1.0,49.0,1.0,7.0,0.0,0.0,2.0,50.0,2.0,2.0
0212861J,AimBig Employment HOBART,AALL,0,8,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212861J,AimBig Employment HUONVILLE,AALL,0,3,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212861J,AimBig Employment ROSNY PARK,AALL,0,2,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212862K,AimBig Employment CORIO,AALL,0,16,1.0,49.0,0.0,6.0,0.0,0.0,1.0,41.0,0.0,0.0
0212862K,AimBig Employment Pty Ltd GEELONG,AALL,0,4,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212863K,AimBig Employment WARRNAMBOOL,MENH,0,24,2.0,42.0,0.0,5.0,0.0,0.0,1.0,25.0,0.0,0.0
0212864A,AimBig Employment WARRNAMBOOL,MUSK,0,5,0.0,16.0,0.0,2.0,0.0,0.0,1.0,17.0,0.0,0.0
0212865B,Aimbig Employment LAUNCESTON,(blank),0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212866C,AimBig Employment MILDURA,MENH,0,4,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212868E,AimBig Employment DEVONPORT,MENH,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212869F,AimBig Employment DEVONPORT,MUSK,0,2,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212870K,AimBig Employment DUBBO,MENH,0,3,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212871K,AimBig Employment DUBBO,MUSK,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212872A,AimBig Employment ORANGE,MENH,0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212873B,AimBig Employment ORANGE,MUSK,0,7,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212874C,AimBig Employment CALOUNDRA,(blank),0,14,1.0,9.0,1.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0
0212875D,AimBig Employment CALOUNDRA,MUSK,0,24,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
0212877F,AimBig Employment TRARALGON,(blank),0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212879H,AimBig Employment CHERMSIDE,AALL,0,3,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212879H,AimBig Employment FORTITUDE VALLEY,AALL,0,19,1.0,17.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212879H,AimBig Employment MITCHELTON,AALL,0,16,1.0,17.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212879H,AimBig Employment NORTH LAKES,AALL,0,45,0.0,32.0,0.0,4.0,0.0,0.0,1.0,17.0,0.0,0.0
0212879H,AimBig Employment TOOWONG,AALL,0,84,2.0,42.0,0.0,5.0,0.0,0.0,2.0,34.0,0.0,0.0
0212881B,AimBig Employment ETTALONG BEACH,AALL,0,25,2.0,18.0,0.0,2.0,0.0,0.0,1.0,25.0,0.0,0.0
0212881B,AimBig Employment GOSFORD,AALL,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212881B,AimBig Employment KANWAL,AALL,0,56,2.0,26.0,1.0,11.0,0.0,0.0,2.0,26.0,0.0,0.0
0212881B,AimBig Employment THE ENTRANCE,AALL,0,29,0.0,48.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0
0212881B,AimBig Employment WOY WOY,AALL,0,23,2.0,18.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212881B,AimBig Employment WYONG,AALL,0,24,3.0,11.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
0212882C,AimBig Employment CESSNOCK,AALL,0,22,1.0,17.0,0.0,2.0,0.0,0.0,3.0,19.0,0.0,0.0
0212882C,AimBig Employment MAITLAND,AALL,0,44,3.0,35.0,0.0,4.0,0.0,0.0,2.0,34.0,0.0,0.0
0212883D,AimBig Employment GUNNEDAH,(blank),0,5,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212883D,AimBig Employment TAMWORTH,(blank),0,44,1.0,33.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0
0212884E,AimBig Employment BROADMEADOW,AALL,0,67,0.0,56.0,0.0,7.0,0.0,0.0,5.0,61.0,0.0,0.0
0212884E,AimBig Employment CHARLESTOWN,AALL,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212886G,AimBig Employment BROADMEADOWS,AALL,0,21,1.0,33.0,0.0,4.0,0.0,0.0,1.0,25.0,0.0,0.0
0212886G,AimBig Employment CRAIGIEBURN,AALL,0,16,0.0,24.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212886G,AimBig Employment MOONEE PONDS,AALL,0,116,3.0,131.0,0.0,16.0,0.0,0.0,4.0,124.0,0.0,0.0
0212887H,AimBig Employment COFFS HARBOUR,(blank),0,16,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212887H,AimBig Employment NAMBUCCA HEADS,(blank),0,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212888J,AimBig Employment PORT MACQUARIE,(blank),0,33,1.0,9.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212889K,AimBig Employment GLEN INNES,AALL,0,27,2.0,34.0,0.0,4.0,0.0,0.0,1.0,33.0,0.0,0.0
0212889K,AimBig Employment INVERELL,AALL,0,55,5.0,21.0,0.0,2.0,0.0,0.0,5.0,29.0,0.0,0.0
0212889K,AimBig Employment Pty Ltd. ARMIDALE,AALL,0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212890C,AimBig Employment LISMORE,(blank),0,8,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212891D,AimBig Employment BERRIMAH,AALL,0,14,0.0,16.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
0212891D,AimBig Employment TIWI,AALL,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212891D,AimBig Employment WANGURI,AALL,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212892E,AimBig Employment GLENORCHY,(blank),0,3,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212892E,AimBig Employment HOBART,(blank),0,20,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0212892E,AimBig Employment HUONVILLE,(blank),0,3,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212892E,AimBig Employment ROSNY PARK,(blank),0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212893F,Aimbig Employment LAUNCESTON,AALL,0,17,1.0,17.0,0.0,2.0,0.0,0.0,1.0,17.0,0.0,0.0
0212894G,AimBig Employment BENDIGO,AALL,0,8,2.0,10.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212894G,AimBig Employment MARYBOROUGH,AALL,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212895H,AimBig Employment CORIO,AALL,0,27,2.0,26.0,0.0,3.0,0.0,0.0,2.0,26.0,0.0,0.0
