,JOB_SEEKER_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast,Unnamed: 0,Num_52_full,Den_52_full,Num_52_path,Den_52_path,Num_13_full_exp,Num_26_full_exp,Num_26_path_exp,Num_26_wrkast_exp,Num_52_full_exp,Num_52_path_exp
27,6773302509,,,AimBig Employment GOSFORD,0212881B,AALL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2083770609,,,AimBig Employment KANWAL,0212812K,AALL,0.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1441912909,,,AimBig Employment CABRAMATTA,0212844H,AALL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9851357809,,,AimBig Employment AUBURN,0212898K,AALL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,7539991003,,,AimBig Employment FAIRFIELD,0212844H,AALL,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,52697509,,,AimBig Employment CAMPBELLTOWN,0212902B,AALL,0.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1836634109,,,AimBig Employment ETTALONG BEACH,0212812K,AALL,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1771355909,,,AimBig Employment CAMPSIE,0212839K,MENH,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,1294682809,,,AimBig Employment FRANKSTON,0212818F,MENH,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,8253094003,,,AimBig Employment INGLEBURN,0212902B,AALL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,6174075809,,,AimBig Employment GOSFORD,0212881B,AALL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,611112003,,,AimBig Employment HURSTVILLE,0212904D,AALL,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8804080309,,,AimBig Employment BURLEIGH HEADS,0212793B,MENH,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
40,8870591209,,,AimBig Employment SURFERS PARADISE,0212793B,MENH,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2392881709,,,AimBig Employment GLENORCHY,0212861J,AALL,0.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,1451406019,,,AimBig Employment BAULKHAM HILLS,0212898K,AALL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
43,7860059609,,,AimBig Employment SURRY HILLS,0212900K,AALL,0.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1898155109,,,AimBig Employment KANWAL,0212812K,AALL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
45,6858543909,,,AimBig Employment KANWAL,0212881B,AALL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
46,1207286909,,,AimBig Employment MAITLAND,0212882C,AALL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
47,3667644109,,,AimBig Employment BROADMEADOW,0212884E,AALL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2940067509,,,AimBig Employment BONDI JUNCTION,0212843G,MUSK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8989064909,,,AimBig Employment LEICHHARDT,0212900K,AALL,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
50,218487409,,,AimBig Employment SUNSHINE,0212823C,MUSK,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,3618650,,,AimBig Employment AUBURN,0212898K,AALL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
52,2994078909,,,AimBig Employment HURSTVILLE,0212904D,AALL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
53,6274857709,,,AimBig Employment MOONEE PONDS,0212817E,AALL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,9455821019,,,AimBig Employment FORTITUDE VALLEY,0212879H,AALL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55,7619946003,,,AimBig Employment HURSTVILLE,0212904D,AALL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
56,403641009,,,AimBig Employment HEIDELBERG,0212821A,MUSK,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,6276870007,,,AimBig Employment GLEN INNES,0212889K,AALL,0.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,7088411809,,,AimBig Employment BANKSTOWN,0212839K,MENH,0.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3606070,,,AimBig Employment BURWOOD,0212846K,MENH,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,9951406609,,,AimBig Employment SURRY HILLS,0212900K,AALL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,8918718809,,,AimBig Employment WERRIBEE,0212822B,MENH,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,515141809,,,AimBig Employment FRANKSTON,0212818F,MENH,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63,695723709,,,AimBig Employment TOOWONG,0212879H,AALL,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,9442318209,,,AimBig Employment MOONEE PONDS,0212817E,AALL,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8218591003,,,AimBig Employment FAIRFIELD,0212899A,AALL,0.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
