,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full,NUMERATOR,DENOMINATOR
0,AimBig Employment AITKENVALE,0212804K,MENH,16.0,47.0,17,70
1,AimBig Employment AITKENVALE,0212805A,MUSK,9.0,11.0,9,24
2,AimBig Employment AUBURN,0212841E,AALL,28.0,78.0,21,92
3,AimBig Employment AUBURN,0212898K,AALL,9.0,59.0,9,74
4,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,3.0,19.0,4,36
5,AimBig Employment BALLARAT CENTRAL,0212860H,MUSK,1.0,1.0,0,9
6,AimBig Employment BANKSTOWN,0212839K,MENH,22.0,104.0,11,69
7,AimBig Employment BANKSTOWN,0212840D,MUSK,9.0,44.0,15,59
8,AimBig Employment BAULKHAM HILLS,0212841E,AALL,11.0,36.0,13,54
9,AimBig Employment BAULKHAM HILLS,0212898K,AALL,23.0,52.0,25,87
10,AimBig Employment BENDIGO,0212858C,AALL,16.0,22.0,13,47
11,AimBig Employment BENDIGO,0212894G,AALL,6.0,16.0,7,34
12,AimBig Employment BERRIMAH,0212830B,AALL,6.0,12.0,8,24
13,AimBig Employment BERRIMAH,0212891D,AALL,5.0,20.0,3,18
14,AimBig Employment BLACKTOWN,0212853J,MENH,0.0,1.0,0,11
15,AimBig Employment BLACKTOWN,0212854K,MUSK,1.0,1.0,0,3
16,AimBig Employment BONDI JUNCTION,0212843G,MUSK,11.0,43.0,15,40
17,AimBig Employment BROADMEADOW,0212815C,AALL,18.0,61.0,21,65
18,AimBig Employment BROADMEADOW,0212884E,AALL,21.0,97.0,24,123
19,AimBig Employment BROADMEADOWS,0212817E,AALL,34.0,61.0,39,115
20,AimBig Employment BROADMEADOWS,0212886G,AALL,29.0,47.0,36,106
21,AimBig Employment BUNBURY,0212810J,MENH,4.0,14.0,5,21
22,AimBig Employment BURLEIGH HEADS,0212793B,MENH,23.0,85.0,23,85
23,AimBig Employment BURWOOD,0212846K,MENH,35.0,67.0,38,107
24,AimBig Employment BURWOOD,0212847K,MUSK,12.0,23.0,15,47
25,AimBig Employment CABRAMATTA,0212844H,AALL,59.0,201.0,72,174
26,AimBig Employment CABRAMATTA,0212899A,AALL,21.0,88.0,20,82
27,AimBig Employment CAIRNS CITY,0212798G,MENH,28.0,92.0,33,73
28,AimBig Employment CAIRNS CITY,0212799H,MUSK,9.0,36.0,6,28
29,AimBig Employment CALOUNDRA,0212875D,MUSK,5.0,17.0,4,15
30,AimBig Employment CAMPBELLTOWN,0212849B,AALL,34.0,148.0,36,109
31,AimBig Employment CAMPBELLTOWN,0212902B,AALL,19.0,98.0,23,76
32,AimBig Employment CAMPSIE,0212839K,MENH,14.0,18.0,19,55
33,AimBig Employment CAMPSIE,0212840D,MUSK,5.0,15.0,9,25
34,AimBig Employment CASINO,0212829J,AALL,5.0,25.0,4,26
35,AimBig Employment CASUARINA,0212830B,AALL,4.0,4.0,9,36
36,AimBig Employment CASUARINA,0212891D,AALL,7.0,8.0,10,40
37,AimBig Employment CESSNOCK,0212813A,AALL,13.0,29.0,13,53
38,AimBig Employment CESSNOCK,0212882C,AALL,16.0,34.0,9,42
39,AimBig Employment CHARLESTOWN,0212815C,AALL,2.0,2.0,3,17
40,AimBig Employment CHARLESTOWN,0212884E,AALL,4.0,4.0,2,11
41,AimBig Employment CHERMSIDE,0212795D,AALL,10.0,25.0,14,61
42,AimBig Employment CHERMSIDE,0212879H,AALL,11.0,27.0,10,49
43,AimBig Employment CHINCHILLA,0212838K,AALL,5.0,32.0,6,23
44,AimBig Employment CHINCHILLA,0212897K,AALL,4.0,20.0,5,41
45,AimBig Employment COFFS HARBOUR,0212826F,AALL,13.0,37.0,8,35
46,AimBig Employment CORIO,0212862K,AALL,9.0,63.0,6,49
47,AimBig Employment CORIO,0212895H,AALL,7.0,38.0,9,56
48,AimBig Employment CRAIGIEBURN,0212817E,AALL,21.0,48.0,26,105
49,AimBig Employment CRAIGIEBURN,0212886G,AALL,15.0,58.0,19,102
50,AimBig Employment DALBY,0212838K,AALL,8.0,37.0,14,64
51,AimBig Employment DALBY,0212897K,AALL,7.0,55.0,13,59
52,AimBig Employment DARLINGHURST,0212845J,AALL,13.0,27.0,12,40
53,AimBig Employment DARLINGHURST,0212900K,AALL,6.0,37.0,5,57
54,AimBig Employment DARWIN CITY,0212830B,AALL,1.0,7.0,0,4
55,AimBig Employment DARWIN CITY,0212891D,AALL,1.0,1.0,1,2
56,AimBig Employment DEAKIN,0212836H,MUSK,0.0,12.0,0,10
57,AimBig Employment DEVONPORT,0212868E,MENH,3.0,4.0,3,18
58,AimBig Employment DEVONPORT,0212869F,MUSK,1.0,3.0,3,15
59,AimBig Employment DUBBO,0212870K,MENH,1.0,8.0,2,13
60,AimBig Employment DUBBO,0212871K,MUSK,0.0,2.0,0,5
61,AimBig Employment EPPING,0212820K,MENH,15.0,49.0,14,94
62,AimBig Employment EPPING,0212821A,MUSK,8.0,24.0,6,23
63,AimBig Employment ETTALONG BEACH,0212812K,AALL,7.0,42.0,13,68
64,AimBig Employment ETTALONG BEACH,0212881B,AALL,14.0,31.0,16,83
65,AimBig Employment FAIRFIELD,0212844H,AALL,22.0,139.0,25,155
66,AimBig Employment FAIRFIELD,0212899A,AALL,16.0,63.0,17,98
67,AimBig Employment FORTITUDE VALLEY,0212795D,AALL,4.0,15.0,4,33
68,AimBig Employment FORTITUDE VALLEY,0212879H,AALL,8.0,41.0,10,65
69,AimBig Employment FRANKSTON,0212818F,MENH,17.0,102.0,20,92
70,AimBig Employment FRANKSTON,0212819G,MUSK,6.0,40.0,7,31
71,AimBig Employment GLEN INNES,0212828H,AALL,2.0,21.0,6,36
