,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg
15,0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,20.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,4.0,0.10526315789473684,0.0,4.0,0.08695652173913043,0.0
16,0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,100.0,0.0,0.0,0.5,0.0,0.5,0.5,12.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.08333333333333333,0.0
17,0212802J,AimBig Employment MACKAY,MENH,100.0,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,0.08695652173913043,0.0
18,0212803K,AimBig Employment MACKAY,MUSK,42.857142857142854,0.0,0.0,0.5,0.0,0.5,28.57142857142857,12.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.08333333333333333,0.0
19,0212804K,AimBig Employment AITKENVALE,MENH,20.0,11.11111111111111,0.0,0.5,5.88235294117647,0.5,20.0,5.555555555555555,0.5,0.5,5.88235294117647,0.5,5.88235294117647,0.5,0.5,11.11111111111111,0.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.2466666666666666,0.0
20,0212805A,AimBig Employment AITKENVALE,MUSK,100.0,15.789473684210526,0.0,0.5,11.11111111111111,0.5,40.0,21.052631578947366,0.5,0.5,16.666666666666664,0.5,11.11111111111111,0.5,0.5,15.789473684210526,0.0,0.75,0.0,1.0,0.6666666666666667,1.0,4.0,0.3999999999999997,0.0,4.0,1.4299999999999997,0.0
21,0212810J,AimBig Employment BUNBURY,MENH,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,0.08695652173913043,0.0
22,0212812K,AimBig Employment ETTALONG BEACH,AALL,10.526315789473683,11.11111111111111,0.0,0.5,0.0,0.5,15.789473684210526,33.33333333333333,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,0.33333333333333337,0.0,1.0,0.0,1.0,0.0,4.0,2.0100502512562812,4.0,1.9349999999999998,0.0
23,0212812K,AimBig Employment KANWAL,AALL,100.0,20.0,0.0,0.5,11.11111111111111,0.5,80.0,15.0,0.5,0.5,16.666666666666664,0.5,11.11111111111111,0.5,0.5,20.0,0.0,1.3333333333333333,0.0,1.0,0.6666666666666667,1.0,0.0,4.0,1.54320987654321,4.0,2.8333333333333335,0.0
24,0212812K,AimBig Employment THE ENTRANCE,AALL,100.0,100.0,0.5,0.5,0.5,0.5,33.33333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,0.020000000000000007,4.0,0.0,0.92,4.0,0.0
25,0212812K,AimBig Employment WOY WOY,AALL,62.5,80.0,0.5,0.5,50.0,0.5,25.0,40.0,0.5,0.5,100.0,0.5,50.0,0.5,0.5,80.0,0.5,2.0,1.0,1.0,0.5,1.0,1.6,4.0,0.0,0.0,4.0,1.8245614035087718
26,0212812K,AimBig Employment WYONG,AALL,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,3.96,4.0,0.0,0.92,4.0,0.0
