,JOB_SEEKER_ID,Contract_ID,Site_Name,specialist_site_type_code,Num_13_full_exp,Num_26_full_exp,Num_26_path_exp,Num_26_wrkast_exp,Num_52_full_exp,Num_52_path_exp
0,8653691003,0212899A,AimBig Employment FAIRFIELD,AALL,1.0,0.0,0.0,0.0,0.0,0.0
1,7870290004,0212795D,AimBig Employment NORTH LAKES,AALL,0.0,0.0,0.0,0.0,0.0,0.0
2,6498977509,0212845J,AimBig Employment LEICHHARDT,AALL,1.0,1.0,0.0,0.0,1.0,0.0
3,6638331004,0212795D,AimBig Employment NORTH LAKES,AALL,0.0,0.0,0.0,0.0,0.0,0.0
4,2792458409,0212831C,AimBig Employment ROCKINGHAM,MENH,0.0,0.0,0.0,0.0,0.0,0.0
5,3476477809,0212846K,AimBig Employment BURWOOD,MENH,1.0,1.0,0.0,0.0,0.0,0.0
6,1402890004,0212879H,AimBig Employment CHERMSIDE,AALL,0.0,0.0,0.0,0.0,0.0,0.0
7,1686955509,0212861J,AimBig Employment GLENORCHY,AALL,0.0,0.0,0.0,0.0,0.0,0.0
8,9114093109,0212832D,AimBig Employment ROCKINGHAM,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
9,7394980004,0212828H,AimBig Employment INVERELL,AALL,1.0,0.0,0.0,0.0,1.0,0.0
10,6206761009,0212879H,AimBig Employment MITCHELTON,AALL,0.0,1.0,0.0,0.0,1.0,0.0
11,747163003,0212813A,AimBig Employment CESSNOCK,AALL,0.0,0.0,1.0,0.0,0.0,0.0
12,8091437019,0212826F,AimBig Employment COFFS HARBOUR,AALL,1.0,0.0,0.0,0.0,0.0,0.0
13,7725716003,0212846K,AimBig Employment BURWOOD,MENH,1.0,1.0,0.0,0.0,1.0,0.0
14,1564000004,0212805A,AimBig Employment AITKENVALE,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
15,6428853004,0212804K,AimBig Employment AITKENVALE,MENH,1.0,0.0,0.0,0.0,0.0,0.0
16,1071217709,0212900K,AimBig Employment LEICHHARDT,AALL,1.0,0.0,0.0,0.0,0.0,1.0
17,5396870609,0212841E,AimBig Employment AUBURN,AALL,1.0,0.0,1.0,0.0,0.0,0.0
18,324231004,0212879H,AimBig Employment NORTH LAKES,AALL,1.0,1.0,0.0,0.0,0.0,0.0
19,5545251003,0212889K,AimBig Employment INVERELL,AALL,1.0,1.0,0.0,0.0,1.0,0.0
20,2173230,0212886G,AimBig Employment MOONEE PONDS,AALL,0.0,0.0,0.0,0.0,0.0,0.0
21,9710374809,0212882C,AimBig Employment CESSNOCK,AALL,1.0,0.0,0.0,0.0,0.0,0.0
22,9743848009,0212821A,AimBig Employment EPPING,MUSK,1.0,0.0,1.0,0.0,1.0,0.0
23,7428106909,0212840D,AimBig Employment BANKSTOWN,MUSK,1.0,0.0,0.0,0.0,0.0,0.0
24,1159611019,0212900K,AimBig Employment MARRICKVILLE,AALL,0.0,1.0,0.0,0.0,0.0,0.0
25,2127597209,0212886G,AimBig Employment BROADMEADOWS,AALL,1.0,0.0,0.0,0.0,0.0,0.0
26,1262831809,0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,0.0,0.0,0.0,0.0,0.0,0.0
27,6773302509,0212881B,AimBig Employment GOSFORD,AALL,0.0,0.0,0.0,0.0,0.0,0.0
28,2083770609,0212812K,AimBig Employment KANWAL,AALL,1.0,0.0,0.0,0.0,0.0,0.0
29,1441912909,0212844H,AimBig Employment CABRAMATTA,AALL,0.0,0.0,0.0,0.0,0.0,0.0
30,9851357809,0212898K,AimBig Employment AUBURN,AALL,0.0,0.0,0.0,0.0,0.0,0.0
31,7539991003,0212844H,AimBig Employment FAIRFIELD,AALL,1.0,1.0,0.0,0.0,0.0,0.0
32,52697509,0212902B,AimBig Employment CAMPBELLTOWN,AALL,0.0,0.0,0.0,0.0,0.0,0.0
33,1836634109,0212812K,AimBig Employment ETTALONG BEACH,AALL,0.0,0.0,0.0,0.0,0.0,0.0
34,1771355909,0212839K,AimBig Employment CAMPSIE,MENH,1.0,0.0,0.0,0.0,0.0,0.0
35,1294682809,0212818F,AimBig Employment FRANKSTON,MENH,0.0,0.0,0.0,0.0,1.0,0.0
36,8253094003,0212902B,AimBig Employment INGLEBURN,AALL,0.0,0.0,1.0,0.0,0.0,0.0
37,6174075809,0212881B,AimBig Employment GOSFORD,AALL,0.0,0.0,0.0,0.0,0.0,0.0
38,611112003,0212904D,AimBig Employment HURSTVILLE,AALL,0.0,0.0,0.0,0.0,0.0,0.0
39,8804080309,0212793B,AimBig Employment BURLEIGH HEADS,MENH,1.0,1.0,0.0,0.0,0.0,0.0
40,8870591209,0212793B,AimBig Employment SURFERS PARADISE,MENH,0.0,0.0,0.0,0.0,0.0,0.0
41,2392881709,0212861J,AimBig Employment GLENORCHY,AALL,0.0,0.0,0.0,0.0,1.0,0.0
42,1451406019,0212898K,AimBig Employment BAULKHAM HILLS,AALL,1.0,0.0,0.0,0.0,1.0,0.0
43,7860059609,0212900K,AimBig Employment SURRY HILLS,AALL,0.0,0.0,0.0,0.0,0.0,0.0
44,1898155109,0212812K,AimBig Employment KANWAL,AALL,1.0,1.0,0.0,0.0,1.0,0.0
45,6858543909,0212881B,AimBig Employment KANWAL,AALL,1.0,1.0,0.0,0.0,1.0,0.0
46,1207286909,0212882C,AimBig Employment MAITLAND,AALL,1.0,1.0,0.0,0.0,0.0,0.0
47,3667644109,0212884E,AimBig Employment BROADMEADOW,AALL,0.0,0.0,0.0,0.0,0.0,0.0
