,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,1186325409,0,1,AimBig Employment WERRIBEE,0212822B,MENH
0,3919794709,0,6,AimBig Employment BENDIGO,0212858C,AALL
0,406221709,0,4,AimBig Employment DALBY,0212838K,AALL
0,5769902004,0,1,,,
0,4039013609,0,1,AimBig Employment PARRAMATTA,0212898K,AALL
0,1629618909,0,3,AimBig Employment TOOWONG,0212879H,AALL
0,5954202809,0,2,AimBig Employment NORTH LAKES,0212879H,AALL
0,2907704019,0,0,AimBig Employment BENDIGO,0212894G,AALL
0,1575264409,0,1,AimBig Employment DALBY,0212897K,AALL
0,3629693309,0,2,AimBig Employment CAMPSIE,0212840D,MUSK
0,5950473119,0,1,AimBig Employment COFFS HARBOUR,0212826F,AALL
0,8548872909,0,2,AimBig Employment MILE END,0212791K,MENH
0,3097692003,0,1,AimBig Employment THE ENTRANCE,0212812K,AALL
0,1355415709,0,2,AimBig Employment LEICHHARDT,0212845J,AALL
0,786802004,0,8,AimBig Employment CHINCHILLA,0212897K,AALL
0,2517777609,0,1,AimBig Employment MILE END,0212791K,MENH
0,7532509,0,1,AimBig Employment WERRIBEE,0212822B,MENH
0,9058388309,0,2,AimBig Employment GEELONG,0212895H,AALL
0,7519073003,0,2,AimBig Employment THE ENTRANCE,0212881B,AALL
0,145752209,0,1,AimBig Employment LEICHHARDT,0212900K,AALL
0,168030509,0,2,AimBig Employment MAITLAND,0212882C,AALL
0,7108496709,0,1,,,
0,2822398909,0,8,AimBig Employment CABRAMATTA,0212844H,AALL
0,7419127003,0,1,AimBig Employment EPPING,0212820K,MENH
0,6206761009,0,8,AimBig Employment MITCHELTON,0212879H,AALL
0,9461203003,0,4,AimBig Employment NAMBUCCA HEADS,0212826F,AALL
0,5461344809,0,2,AimBig Employment KANWAL,0212881B,AALL
0,747163003,0,4,AimBig Employment CESSNOCK,0212813A,AALL
0,8091437019,0,4,AimBig Employment COFFS HARBOUR,0212826F,AALL
0,1456160008,0,6,AimBig Employment PORT MACQUARIE,0212827G,(blank)
0,5076452809,0,3,AimBig Employment HYDE PARK,0212804K,MENH
0,669580,0,2,AimBig Employment BROADMEADOWS,0212817E,AALL
0,9806637003,0,3,AimBig Employment GLEN INNES,0212889K,AALL
