,CONTRACT_ID,SITE_CODE,SPECIALTY_CD,SITE_NAME,PERFORMANCE_MEASURES,ALL_ORG_NAT_AVG,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,13_full_avg
4387,0212834F,MM57,MUSK,AimBig Employment JOONDALUP,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4388,0212833E,MM57,MENH,AimBig Employment JOONDALUP,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4389,0212833E,MM57,MENH,AimBig Employment JOONDALUP,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4390,0212834F,MM57,MUSK,AimBig Employment JOONDALUP,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4394,0212834F,MM57,MUSK,AimBig Employment JOONDALUP,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4395,0212834F,MM57,MUSK,AimBig Employment JOONDALUP,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4397,0212834F,FV78,MUSK,AimBig Employment OSBORNE PARK OSBORNE PARK,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398,0212834F,FV68,MUSK,AimBig Employment OSBORNE PARK,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4399,0212834F,FV78,MUSK,AimBig Employment OSBORNE PARK OSBORNE PARK,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4461,0212836H,N367,MUSK,AimBig Employment PHILLIP,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4462,0212836H,MM47,MUSK,AimBig Employment DEAKIN,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4465,0212836H,N367,MUSK,AimBig Employment PHILLIP,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4466,0212836H,MM47,MUSK,AimBig Employment DEAKIN,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4474,0212836H,N367,MUSK,AimBig Employment PHILLIP,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4475,0212836H,MM47,MUSK,AimBig Employment DEAKIN,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4476,0212836H,MM47,MUSK,AimBig Employment DEAKIN,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4477,0212836H,N367,MUSK,AimBig Employment PHILLIP,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4478,0212836H,MM47,MUSK,AimBig Employment DEAKIN,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4481,0212836H,MM47,MUSK,AimBig Employment DEAKIN,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4482,0212836H,N367,MUSK,AimBig Employment PHILLIP,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4483,0212835G,MM47,MENH,AimBig Employment DEAKIN,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4484,0212835G,MM47,MENH,AimBig Employment DEAKIN,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4485,0212836H,N367,MUSK,AimBig Employment PHILLIP,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4486,0212836H,N367,MUSK,AimBig Employment PHILLIP,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4487,0212836H,N367,MUSK,AimBig Employment PHILLIP,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4488,0212836H,MM47,MUSK,AimBig Employment DEAKIN,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4489,0212835G,MM47,MENH,AimBig Employment DEAKIN,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4492,0212835G,MM47,MENH,AimBig Employment DEAKIN,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4493,0212835G,N367,MENH,AimBig Employment PHILLIP,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4494,0212835G,N367,MENH,AimBig Employment PHILLIP,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4495,0212835G,N367,MENH,AimBig Employment PHILLIP,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4496,0212836H,MM47,MUSK,AimBig Employment DEAKIN,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
4497,0212835G,N367,MENH,AimBig Employment PHILLIP,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4498,0212836H,MM47,MUSK,AimBig Employment DEAKIN,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4500,0212835G,MM47,MENH,AimBig Employment DEAKIN,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4501,0212835G,MM47,MENH,AimBig Employment DEAKIN,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4502,0212835G,N367,MENH,AimBig Employment PHILLIP,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4503,0212835G,N367,MENH,AimBig Employment PHILLIP,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4506,0212835G,MM47,MENH,AimBig Employment DEAKIN,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4507,0212835G,N367,MENH,AimBig Employment PHILLIP,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4508,0212835G,N367,MENH,AimBig Employment PHILLIP,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4509,0212835G,MM47,MENH,AimBig Employment DEAKIN,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4510,0212836H,N367,MUSK,AimBig Employment PHILLIP,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4511,0212835G,N367,MENH,AimBig Employment PHILLIP,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4512,0212835G,MM47,MENH,AimBig Employment DEAKIN,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4514,0212835G,N367,MENH,AimBig Employment PHILLIP,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4516,0212835G,MM47,MENH,AimBig Employment DEAKIN,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4517,0212836H,N367,MUSK,AimBig Employment PHILLIP,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4519,0212836H,MM47,MUSK,AimBig Employment DEAKIN,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4620,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Full Outcomes,21.5,0.0,0.0,0.0,21.5,0.0,0.0
