,index,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg,overall_perScore,overall_perScore_avg,star_rating_perc,star_rating
12,12,0212795D,AimBig Employment TOOWONG,AALL,44.44444444444444,20.0,0.0,0.5,3.0303030303030303,0.5,25.925925925925924,13.333333333333334,0.5,0.5,15.151515151515152,0.5,3.0303030303030303,0.5,0.5,20.0,0.0,1.5,0.0,1.0,0.19999999999999998,1.0,0.3607912087912089,1.828,0.0,0.912,1.5081,0.0,2.188791208791209,2.4201,-9.557819561538416,3.0
13,13,0212798G,AimBig Employment CAIRNS CITY,MENH,46.15384615384615,33.33333333333333,25.0,0.5,0.0,0.5,23.076923076923077,8.333333333333332,25.0,0.5,12.5,0.5,0.0,0.5,0.5,33.33333333333333,25.0,4.0,1.0,1.0,0.0,1.0,0.1824,1.828,0.0,0.37205507394186643,1.828,0.0,2.0104,2.2000550739418667,-8.620469377707856,3.0
14,14,0212799H,AimBig Employment CAIRNS CITY,MUSK,100.0,100.0,0.5,0.5,20.0,0.5,100.0,100.0,0.5,0.5,30.0,0.5,20.0,0.5,0.5,100.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.828,0.3799999999999999,0.045037037037037035,1.828,0.0,2.208,1.873037037037037,17.883413746737332,3.0
15,15,0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,20.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.912,0.048105263157894734,0.0,0.912,0.03973913043478261,0.0,0.9601052631578948,0.9517391304347826,0.8790363299752375,3.0
16,16,0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,100.0,0.0,0.0,0.5,0.0,0.5,0.5,12.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.912,0.0,0.0,0.912,0.03808333333333333,0.0,0.912,0.9500833333333334,-4.008420314007545,3.0
17,17,0212802J,AimBig Employment MACKAY,MENH,100.0,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.57,0.912,0.03973913043478261,0.0,2.398,0.9517391304347826,151.95979899497488,5.0
18,18,0212803K,AimBig Employment MACKAY,MUSK,42.857142857142854,0.0,0.0,0.5,0.0,0.5,28.57142857142857,12.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.912,0.0,0.0,0.912,0.03808333333333333,0.0,0.912,0.9500833333333334,-4.008420314007545,3.0
19,19,0212804K,AimBig Employment AITKENVALE,MENH,20.0,11.11111111111111,0.0,0.5,5.88235294117647,0.5,20.0,5.555555555555555,0.5,0.5,5.88235294117647,0.5,5.88235294117647,0.5,0.5,11.11111111111111,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.828,0.57,0.912,0.5697266666666666,0.0,2.398,1.4817266666666666,61.83821577528921,5.0
20,20,0212805A,AimBig Employment AITKENVALE,MUSK,100.0,15.789473684210526,0.0,0.5,11.11111111111111,0.5,40.0,21.052631578947366,0.5,0.5,16.666666666666664,0.5,11.11111111111111,0.5,0.5,15.789473684210526,0.0,0.75,0.0,1.0,0.6666666666666667,1.0,0.912,0.18279999999999985,0.0,0.912,0.6535099999999999,0.0,1.0947999999999998,1.56551,-30.067517933453008,2.0
21,21,0212810J,AimBig Employment BUNBURY,MENH,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.57,0.912,0.03973913043478261,0.0,2.398,0.9517391304347826,151.95979899497488,5.0
22,22,0212812K,AimBig Employment ETTALONG BEACH,AALL,10.526315789473683,11.11111111111111,0.0,0.5,0.0,0.5,15.789473684210526,33.33333333333333,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,0.33333333333333337,0.0,1.0,0.0,1.0,0.0,1.828,0.5728643216080401,0.912,0.8842949999999999,0.0,2.40086432160804,1.796295,33.65646074882133,4.0
23,23,0212812K,AimBig Employment KANWAL,AALL,100.0,20.0,0.0,0.5,11.11111111111111,0.5,80.0,15.0,0.5,0.5,16.666666666666664,0.5,11.11111111111111,0.5,0.5,20.0,0.0,1.3333333333333333,0.0,1.0,0.6666666666666667,1.0,0.0,1.828,0.4398148148148148,0.912,1.2948333333333335,0.0,2.2678148148148147,2.2068333333333334,2.7633025367335384,3.0
24,24,0212812K,AimBig Employment THE ENTRANCE,AALL,100.0,100.0,0.5,0.5,0.5,0.5,33.33333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,0.0045600000000000016,1.828,0.0,0.20976000000000003,1.828,0.0,1.83256,2.03776,-10.069880653266335,3.0
